City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,petatlan,MX,17.5167,-101.2667,71.71,84,0,3.85,clear sky
239,sao joao da barra,BR,-21.6403,-41.0511,66.63,84,0,5.3,clear sky
240,grand-santi,GF,4.25,-54.3833,71.65,100,100,1.74,overcast clouds
241,amapa,BR,1.0,-52.0,70.25,100,100,0.89,overcast clouds
242,tuatapere,NZ,-46.1333,167.6833,57.81,82,100,3.53,light rain
243,puerto ayacucho,VE,5.6639,-67.6236,75.38,80,4,3.53,clear sky
244,gushikawa,JP,26.3544,127.8686,58.23,67,90,17.27,overcast clouds
245,kungurtug,RU,50.5994,97.5228,12.4,70,100,1.05,overcast clouds
246,davila,PH,18.4726,120.5763,75.45,84,56,31.14,broken clouds
247,ibra,OM,22.6906,58.5334,77.38,36,100,4.12,overcast clouds
248,ishigaki,JP,24.3448,124.1572,64.08,74,100,30.2,overcast clouds
249,cabay,PH,13.8783,121.3772,77.9,83,60,12.3,broken clouds
250,bethanien,NA,-26.502,17.1583,70.9,33,6,5.39,clear sky
251,rio grande,BR,-32.035,-52.0986,69.87,86,100,4.92,moderate rain
252,vestmannaeyjar,IS,63.4427,-20.2734,38.95,81,100,16.44,overcast clouds
253,nola,IT,40.922,14.5329,59.56,91,100,10.0,overcast clouds
254,rocha,UY,-34.4833,-54.3333,58.03,94,0,5.68,clear sky
255,husavik,IS,66.0449,-17.3389,24.71,78,100,2.21,overcast clouds
256,cockburn town,TC,21.4612,-71.1419,78.22,74,3,10.0,clear sky
257,onega,RU,63.9061,38.1404,6.64,96,100,2.91,overcast clouds
258,rockland,US,41.1668,-74.0496,52.05,83,55,1.01,broken clouds
259,itarema,BR,-2.9248,-39.9167,78.6,83,100,5.61,overcast clouds
260,los llanos de aridane,ES,28.6585,-17.9182,58.75,87,0,8.01,clear sky
261,bezhanitsy,RU,56.9767,29.8907,20.62,86,100,14.09,light snow
262,nueva gorgona,PA,8.55,-79.8667,82.22,76,13,10.25,few clouds
263,jiehu,CN,35.5428,118.455,26.94,17,0,11.68,clear sky
264,yar-sale,RU,66.8333,70.8333,-7.78,95,28,11.88,scattered clouds
265,quatre cocos,MU,-20.2078,57.7625,83.08,63,37,9.26,scattered clouds
266,natal,BR,-5.795,-35.2094,79.45,94,40,5.75,scattered clouds
267,lazaro cardenas,MX,17.9583,-102.2,77.23,76,72,1.99,broken clouds
268,noyabrsk,RU,63.1994,75.4507,-9.98,97,72,13.2,broken clouds
269,ontario,US,34.0633,-117.6509,51.44,93,90,1.01,light rain
270,cascais,PT,38.6979,-9.4215,61.5,81,100,13.0,overcast clouds
271,ixtapa,MX,20.7,-105.2,68.23,85,3,3.69,clear sky
272,vostok,RU,46.4856,135.8833,-14.8,96,100,4.68,overcast clouds
273,krasnogvardeyskiy,RU,57.3793,62.3195,8.89,73,57,15.46,broken clouds
274,tessalit,ML,20.1986,1.0114,60.98,19,0,6.58,clear sky
275,rupert,US,42.6191,-113.6772,35.49,86,100,2.86,overcast clouds
276,raichur,IN,16.2,77.3667,83.48,36,5,5.7,clear sky
277,isangel,VU,-19.55,169.2667,81.14,80,25,6.64,scattered clouds
278,dikson,RU,73.5069,80.5464,-15.75,100,28,6.53,scattered clouds
279,okha,RU,53.5739,142.9478,18.03,88,100,20.09,light snow
280,rock sound,BS,24.9,-76.2,72.37,59,0,6.4,clear sky
281,iquitos,PE,-3.7481,-73.2472,76.64,87,89,1.92,overcast clouds
282,yarada,IN,17.65,83.2667,80.92,65,20,2.3,haze
283,moroni,KM,-11.7022,43.2551,84.99,66,11,7.58,few clouds
284,laguna,US,38.421,-121.4238,45.64,86,20,4.0,few clouds
285,kidal,ML,18.4411,1.4078,62.19,20,0,8.46,clear sky
286,chapais,CA,49.7834,-74.8492,10.18,97,100,1.52,light snow
287,rorvik,NO,64.8621,11.2373,37.51,53,100,14.81,overcast clouds
288,mataram,ID,-8.5833,116.1167,90.41,80,80,11.52,broken clouds
289,abha,SA,18.2164,42.5053,59.77,48,5,8.59,clear sky
290,awka,NG,6.2101,7.0741,78.31,74,33,1.34,scattered clouds
291,brikama,GM,13.2714,-16.6494,69.84,46,0,6.91,clear sky
292,nagareyama,JP,35.8563,139.9027,43.36,26,90,16.33,overcast clouds
293,kargil,IN,34.5667,76.1,14.67,63,100,1.9,overcast clouds
294,shurugwi,ZW,-19.6702,30.0059,63.54,90,100,2.08,light rain
295,mackay,AU,-21.15,149.2,84.04,71,100,4.99,overcast clouds
296,bernal,PE,-5.45,-80.75,68.0,83,27,10.51,scattered clouds
297,leningradskiy,RU,69.3833,178.4167,-12.68,98,100,8.01,overcast clouds
298,alofi,NU,-19.0595,-169.9187,81.1,72,12,7.92,few clouds
299,devils lake,US,48.1128,-98.8651,-0.42,92,90,6.91,light snow
300,fukue,JP,32.6881,128.8419,37.87,72,100,30.2,overcast clouds
301,merano,IT,46.6682,11.1595,37.36,82,100,4.45,overcast clouds
302,kahului,US,20.8947,-156.47,71.83,85,100,7.0,overcast clouds
303,amqui,CA,48.4638,-67.4313,8.92,99,65,1.54,broken clouds
304,peleduy,RU,59.6289,112.7406,-9.29,99,100,1.7,overcast clouds
305,boa vista,BR,2.8197,-60.6733,76.98,88,0,3.44,clear sky
306,nyrob,RU,60.733,56.7202,17.82,93,100,14.41,light snow
307,souillac,MU,-20.5167,57.5167,83.35,63,41,6.78,scattered clouds
308,coquimbo,CL,-29.9533,-71.3436,62.73,89,98,2.82,overcast clouds
309,nayoro,JP,44.3506,142.4578,15.58,94,100,8.37,snow
310,atambua,ID,-9.1061,124.8925,74.32,93,100,4.63,moderate rain
311,belyy yar,RU,53.6039,91.3903,3.09,85,82,0.0,mist
312,harper,LR,4.375,-7.7169,79.16,86,21,5.91,light rain
313,buchanan,LR,5.8808,-10.0467,75.16,88,79,1.97,broken clouds
314,sitka,US,57.0531,-135.33,13.89,80,91,5.79,overcast clouds
315,klyuchevskiy,RU,53.5317,119.4519,-9.54,93,5,1.52,clear sky
316,santo domingo,DO,18.5001,-69.9886,76.03,84,27,3.0,scattered clouds
317,vila do maio,CV,15.1333,-23.2167,75.99,71,31,14.79,scattered clouds
318,ulaanbaatar,MN,47.9077,106.8832,3.33,55,2,2.24,clear sky
319,bryan,US,30.6744,-96.37,65.98,96,1,3.44,mist
320,gravelbourg,CA,49.8834,-106.5512,-13.16,98,100,4.85,overcast clouds
321,auki,SB,-8.7676,160.7034,80.37,87,100,9.42,light rain
322,stilfontein,ZA,-26.8449,26.7683,75.49,49,5,20.58,clear sky
323,pahalgam,IN,34.0333,75.3333,32.25,72,100,6.08,light snow
324,kuusamo,FI,65.9667,29.1833,3.24,85,0,3.44,clear sky
325,lavrentiya,RU,65.5833,-171.0,8.19,95,100,9.26,snow
326,millau,FR,44.0833,2.9167,44.73,95,100,2.82,overcast clouds
327,tigil,RU,57.8,158.6667,-8.39,95,100,4.65,overcast clouds
328,iskateley,RU,67.6803,53.1512,5.16,95,100,11.59,light snow
329,anchorage,US,61.2181,-149.9003,28.2,90,90,3.0,overcast clouds
330,hay river,CA,60.8156,-115.7999,-12.42,97,100,14.79,light snow
331,blagoyevo,RU,63.3667,47.9167,10.33,95,100,7.56,light snow
332,saint george,US,37.1041,-113.5841,49.62,61,90,1.01,overcast clouds
333,grand gaube,MU,-20.0064,57.6608,83.37,76,43,5.99,scattered clouds
334,tucurui,BR,-3.7661,-49.6725,72.32,96,100,2.73,light rain
335,karratha,AU,-20.7377,116.8463,94.1,47,42,22.97,light rain
336,lumphat,KH,13.4878,106.9816,86.43,48,99,5.88,overcast clouds
337,podporozhye,RU,60.9112,34.1706,-14.8,100,100,2.91,overcast clouds
338,baculin,PH,7.4525,126.5842,82.49,73,100,10.2,light rain
339,bani,DO,18.2833,-70.3333,75.85,81,10,8.25,clear sky
340,kiama,AU,-34.6833,150.8667,67.37,93,100,3.0,moderate rain
341,batemans bay,AU,-35.7167,150.1833,65.19,92,100,3.69,light rain
342,esik,KZ,43.3552,77.4525,24.22,52,94,2.24,overcast clouds
343,byron bay,AU,-28.65,153.6167,78.71,69,100,4.41,overcast clouds
344,qaqortoq,GL,60.7167,-46.0333,39.7,50,100,18.79,overcast clouds
345,jacareacanga,BR,-6.2222,-57.7528,72.63,99,100,1.57,overcast clouds
346,mizdah,LY,31.4451,12.9801,49.01,39,7,6.46,clear sky
347,moroto,UG,2.5345,34.6666,77.11,46,24,12.71,few clouds
348,iringa,TZ,-7.7667,35.7,76.69,30,54,8.9,broken clouds
349,margate,GB,51.3813,1.3862,46.11,95,100,3.0,light rain
350,fort william,GB,56.8165,-5.1121,39.78,86,99,5.88,overcast clouds
351,puerto baquerizo moreno,EC,-0.9,-89.6,69.91,90,70,8.03,broken clouds
352,saint-pierre,RE,-21.3393,55.4781,86.29,71,40,6.91,light rain
353,vega de alatorre,MX,20.0333,-96.6333,70.41,78,0,8.61,clear sky
354,katsuura,JP,35.1333,140.3,43.11,49,100,6.08,overcast clouds
355,upernavik,GL,72.7868,-56.1549,4.24,100,100,9.84,overcast clouds
